what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.artifact.repository",1395312052875
started,bundle,org.eclipse.help.base,3.4.0.v200906111540,"org.eclipse.help.base",1395312052891
started,bundle,org.eclipse.equinox.p2.repository.tools,1.0.0.v20090527-1812,"org.eclipse.equinox.p2.repository.tools",1395312052906
started,bundle,org.eclipse.equinox.p2.director.app,1.0.100.v20090521-1912,"org.eclipse.equinox.p2.director.app",1395312052906
started,bundle,org.eclipse.equinox.p2.metadata.generator,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.metadata.generator",1395312052906
started,bundle,org.eclipse.emf.converter,2.5.0.v200906151043,"org.eclipse.emf.converter",1395312052922
started,bundle,org.eclipse.emf.importer,2.5.0.v200906151043,"org.eclipse.emf.importer",1395312052922
started,bundle,org.eclipse.emf.importer.rose,2.5.0.v200906151043,"org.eclipse.emf.importer.rose",1395312052922
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312057297
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1395312232280
executed,command,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui.antShortcut.run",1395312232296
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1395312235468
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1395312241733
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312245655
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312446341
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312453685
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312520263
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312523388
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.restartWorkbench",1395312523684
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1395312523794
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1395312523809
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1395312523856
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1395312523903
