what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395311794330
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395311796548
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395311800689
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395311884564
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395311884860
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395311885501
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.AllMarkersView",1395311975829
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1395311979954
started,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1395311987672
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395311989532
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395311994485
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395311994500
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312004157
executed,command,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1395312004172
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1395312008375
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312008500
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312011641
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1395312011641
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1395312011641
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312044938
started,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1395312047016
started,bundle,org.eclipse.ant.core,3.2.100.v20090520,"org.eclipse.ant.core",1395312051609
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1395312052375
started,bundle,org.eclipse.pde.build,3.5.0.v20090527-1800,"org.eclipse.pde.build",1395312052578
started,bundle,org.eclipse.emf.ant,2.4.0.v200906151043,"org.eclipse.emf.ant",1395312052859
