what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1392463216244
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1392463216275
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1392463216275
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1392463216275
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1392463216291
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.100.v20090520-1905,"org.eclipse.equinox.simpleconfigurator",1392463216306
os,sysinfo,,,"win32",1392463216306
arch,sysinfo,,,"x86",1392463216306
ws,sysinfo,,,"win32",1392463216306
locale,sysinfo,,,"en_US",1392463216306
processors,sysinfo,,,"2",1392463216306
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1392463216306
java.runtime.version,sysinfo,,,"1.7.0_40-b43",1392463216306
java.specification.name,sysinfo,,,"Java Platform API Specification",1392463216306
java.specification.vendor,sysinfo,,,"Oracle Corporation",1392463216306
java.specification.version,sysinfo,,,"1.7",1392463216306
java.vendor,sysinfo,,,"Oracle Corporation",1392463216306
java.version,sysinfo,,,"1.7.0_40",1392463216306
java.vm.info,sysinfo,,,"mixed mode, sharing",1392463216306
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1392463216306
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1392463216306
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1392463216306
java.vm.specification.version,sysinfo,,,"1.7",1392463216306
java.vm.vendor,sysinfo,,,"Oracle Corporation",1392463216306
java.vm.version,sysinfo,,,"24.0-b56",1392463216306
