what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1395311492566
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1395311492582
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395311493472
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395311706877
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1395311709737
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1395311709783
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1395311709783
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1395311710127
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1395311712033
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395311712033
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1395311712065
started,bundle,org.eclipse.jdt.apt.core,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.core",1395311713112
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.200.v20090526-2130,"org.eclipse.jdt.apt.pluggable.core",1395311713127
started,bundle,org.eclipse.jst.servlet.ui,1.1.300.v200902191739,"org.eclipse.jst.servlet.ui",1395311713424
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395311713424
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1395311731236
error,log,,,"Core exception while retrieving the content description",1395311731377
error,log,,,"Core exception while retrieving the content description",1395311731377
error,log,,,"Core exception while retrieving the content description",1395311731377
error,log,,,"Core exception while retrieving the content description",1395311731377
error,log,,,"Core exception while retrieving the content description",1395311731377
error,log,,,"Core exception while retrieving the content description",1395311731377
error,log,,,"Core exception while retrieving the content description",1395311731377
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1395311734580
error,log,,,"Core exception while retrieving the content description",1395311734674
