what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1392464115753
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392464123736
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392464124096
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1392464199943
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1392464305426
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1392464308707
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1392464313862
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392464315721
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392464353246
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392464360089
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392615123559
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392615124246
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392624388277
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1392624389152
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392624391012
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392624391746
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392624392168
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1392624393777
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1392624393840
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1392624393856
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1392624393856
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,"org.eclipse.jst.server.generic.oc4j",1392624393856
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1392624393871
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.405.v200905022002,"org.eclipse.jst.server.generic.ui",1392624393902
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.505.v20090529,"org.eclipse.jst.server.generic.core",1392624393949
