what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1392708283114
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.100.v20090520-1905,"org.eclipse.equinox.simpleconfigurator",1392708283130
os,sysinfo,,,"win32",1392708283130
arch,sysinfo,,,"x86",1392708283130
ws,sysinfo,,,"win32",1392708283130
locale,sysinfo,,,"en_US",1392708283130
processors,sysinfo,,,"2",1392708283130
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1392708283130
java.runtime.version,sysinfo,,,"1.7.0_40-b43",1392708283130
java.specification.name,sysinfo,,,"Java Platform API Specification",1392708283130
java.specification.vendor,sysinfo,,,"Oracle Corporation",1392708283130
java.specification.version,sysinfo,,,"1.7",1392708283130
java.vendor,sysinfo,,,"Oracle Corporation",1392708283130
java.version,sysinfo,,,"1.7.0_40",1392708283130
java.vm.info,sysinfo,,,"mixed mode, sharing",1392708283130
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1392708283130
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1392708283130
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1392708283130
java.vm.specification.version,sysinfo,,,"1.7",1392708283130
java.vm.vendor,sysinfo,,,"Oracle Corporation",1392708283130
java.vm.version,sysinfo,,,"24.0-b56",1392708283130
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1392708283145
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1392708283145
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1392708283239
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1392708283302
