what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1395311491519
java.specification.vendor,sysinfo,,,"Oracle Corporation",1395311491519
java.specification.version,sysinfo,,,"1.7",1395311491519
java.vendor,sysinfo,,,"Oracle Corporation",1395311491519
java.version,sysinfo,,,"1.7.0_40",1395311491519
java.vm.info,sysinfo,,,"mixed mode, sharing",1395311491519
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1395311491519
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1395311491519
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1395311491519
java.vm.specification.version,sysinfo,,,"1.7",1395311491519
java.vm.vendor,sysinfo,,,"Oracle Corporation",1395311491519
java.vm.version,sysinfo,,,"24.0-b56",1395311491519
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1395311491535
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1395311491597
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1395311491629
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1395311491629
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1395311491738
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1395311491769
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1395311491816
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1395311492097
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1395311492129
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1395311492129
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1395311492285
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1395311492519
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1395311492519
