what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1392463217634
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1392463217634
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1392463217775
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392463232085
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392463253878
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392463260220
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392463310055
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392463311492
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392463335238
started,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1392463341050
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1392463350126
started,bundle,org.eclipse.ant.core,3.2.100.v20090520,"org.eclipse.ant.core",1392463352141
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1392463354781
started,bundle,org.eclipse.pde.build,3.5.0.v20090527-1800,"org.eclipse.pde.build",1392463355031
started,bundle,org.eclipse.help.base,3.4.0.v200906111540,"org.eclipse.help.base",1392463355125
started,bundle,org.eclipse.emf.ant,2.4.0.v200906151043,"org.eclipse.emf.ant",1392463355125
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.artifact.repository",1392463355141
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1392463355141
started,bundle,org.eclipse.equinox.p2.metadata.generator,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.metadata.generator",1392463355141
started,bundle,org.eclipse.equinox.p2.publisher,1.0.0.v20090527-1812,"org.eclipse.equinox.p2.publisher",1392463355141
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1392463372419
started,bundle,org.eclipse.jst.jee.ui,1.0.200.v200905242144,"org.eclipse.jst.jee.ui",1392463374387
started,bundle,org.eclipse.jst.servlet.ui,1.1.300.v200902191739,"org.eclipse.jst.servlet.ui",1392463374512
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.300.v200903120000,"org.eclipse.jst.j2ee.navigator.ui",1392463374622
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392463376356
