what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1395312556528
started,bundle,org.eclipse.equinox.p2.metadata.generator,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.metadata.generator",1395312556528
started,bundle,org.eclipse.equinox.p2.director.app,1.0.100.v20090521-1912,"org.eclipse.equinox.p2.director.app",1395312556528
started,bundle,org.eclipse.equinox.p2.repository.tools,1.0.0.v20090527-1812,"org.eclipse.equinox.p2.repository.tools",1395312556544
opened,editor,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui.internal.editor.AntEditor",1395312557075
activated,editor,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui.internal.editor.AntEditor",1395312557309
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312567981
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312574637
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1395312576153
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1395312577747
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312578153
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312704402
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1395312705699
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1395312707715
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1395312707730
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312713089
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312718683
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312718761
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312730214
executed,command,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1395312730261
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1395312731214
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1395312731214
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312758183
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312759089
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395312759230
