what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1392463664865
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1392463668865
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1392463674692
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1392463677238
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1392463687673
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392463690891
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392463690938
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1392463693485
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392463781561
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392463814071
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392463820085
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392463966513
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1392463978308
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1392464021629
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1392464027065
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1392464035954
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1392464039766
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1392464039813
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1392464046640
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1392464064902
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392464067121
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392464067293
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1392464099678
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392464102755
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1392464103036
