sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
home,54,4471,4343,8201,231,9037,0.0,0.18464252864523675,2.2423702458823005
login,50,17963,17040,25780,6948,31118,0.0,0.16811582507884631,13.659883613414298
search forums,32,3966,3529,8544,116,9076,0.0,0.11419558134472434,1.473669443046738
view topic,31,4142,4386,8033,240,8657,0.1935483870967742,0.11190850937865507,1.8285358294496268
choose forum,18,4041,3416,7013,875,8070,0.0,0.0661101174189141,0.7324586387100447
choose topic,18,4196,4033,7011,112,8536,0.0,0.06586072651699207,1.279867725133917
logout,30,14405,13843,18879,2821,23500,0.0,0.11231622258080216,8.379967477433798
post reply & logout,15,57124,56766,62792,49423,66104,0.0,0.05621240795218198,5.975298452753471
TOTAL,248,11420,6500,23305,112,66104,0.024193548387096774,0.8286111408104352,33.478334627342164
