sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
home,54,4471,231,9037,2484.1926135785097,0.0,0.18464252864523675,2.2423702458823005,12435.851851851852
login,50,17963,6948,31118,5517.11483661524,0.0,0.16811582507884631,13.659883613414298,83202.88
search forums,32,3966,116,9076,2718.307320282238,0.0,0.11419558134472434,1.473669443046738,13214.5
view topic,31,4142,240,8657,2609.6707579962035,0.1935483870967742,0.11190850937865507,1.8285358294496268,16731.709677419356
choose forum,18,4041,875,8070,2450.7326342227634,0.0,0.0661101174189141,0.7324586387100447,11345.277777777777
choose topic,18,4196,112,8536,2386.3241898134647,0.0,0.06586072651699207,1.279867725133917,19899.333333333332
logout,30,14405,2821,23500,3907.745969936575,0.0,0.11231622258080216,8.379967477433798,76401.13333333333
post reply & logout,15,57124,49423,66104,4507.57798773971,0.0,0.05621240795218198,5.975298452753471,108849.73333333334
TOTAL,248,11420,112,66104,13465.060060330721,0.024193548387096774,0.8286111408104352,33.478334627342164,41372.62096774193
