sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
home,56,4714,290,8852,2624.1511401429943,0.0,0.1953561062737218,2.3877262457004216,12515.767857142857
login,55,18933,10087,27433,3998.674156465702,0.0,0.1854743252949885,15.075795769162028,83233.16363636364
search forums,30,4444,125,8966,2803.046981807872,0.0,0.10867163416781074,1.5104154403374617,14232.466666666667
view topic,29,4160,426,9065,2844.028298164595,0.2413793103448276,0.11514059063152629,1.9541990148035064,17379.620689655174
choose forum,22,4241,541,8758,2506.7557183349472,0.0,0.08389229754309967,0.9264982222936154,11308.954545454546
choose topic,22,4476,292,9039,2476.9140878844246,0.0,0.08136606221544994,1.8607069069616065,23417.18181818182
logout,48,13435,5853,20754,3941.711098179369,0.0,0.17547964436125407,13.100284474666955,76445.85416666667
post reply ,20,22644,17080,28137,3067.9901283250488,0.0,0.07951432649377602,2.8872513872765153,37182.55
TOTAL,282,10102,125,28137,7526.217730434167,0.024822695035460994,0.940548653381139,37.08777060055866,40378.42907801418
